time,vehicles
0,0
6,0
12,0
18,0
24,0
30,0
36,0
42,0
48,0
54,0
60,0
66,0
72,0
78,0
84,0
100,0
106,0
112,0
118,0
124,0
130,0
136,0
142,0
148,0
154,0
160,0
166,0
172,0
178,0
184,0
200,0
206,0
212,0
218,0
224,0
230,0
236,0
242,0
248,0
254,0
260,0
266,0
272,0
278,0
284,0
300,0
306,0
312,0
318,0
324,0
330,0
336,0
342,0
348,0
354,0
360,0
366,0
372,0
378,0
384,0
400,0
406,0
412,0
418,0
424,1
430,0
436,0
442,0
448,0
454,0
460,0
466,0
472,0
478,0
484,0
500,0
506,0
512,0
518,0
524,0
530,0
536,0
542,0
548,0
554,0
560,0
566,0
572,0
578,0
584,0
600,0
606,0
612,0
618,0
624,0
630,0
636,0
642,0
648,0
654,0
660,0
666,0
672,0
678,0
684,0
700,0
706,0
712,0
718,0
724,0
730,0
736,0
742,0
748,0
754,0
760,0
766,0
772,0
778,0
784,0
800,1
806,0
812,0
818,0
824,0
830,0
836,0
842,0
848,0
854,0
860,0
866,0
872,0
878,0
884,0
900,0
906,0
912,0
918,0
924,0
930,0
936,0
942,0
948,0
954,0
960,0
966,0
972,0
978,0
984,0
1000,0
1006,0
1012,0
1018,0
1024,0
1030,0
1036,0
1042,0
1048,0
1054,0
1060,0
1066,0
1072,0
1078,0
1084,0
1100,0
1106,0
1112,0
1118,0
1124,0
1130,0
1136,0
1142,0
1148,0
1154,0
1160,0
1166,0
1172,0
1178,0
1184,0
1200,0
1206,0
1212,0
1218,0
1224,0
1230,0
1236,0
1242,0
1248,0
1254,0
1260,0
1266,0
1272,0
1278,0
1284,0
1300,0
1306,0
1312,0
1318,0
1324,0
1330,0
1336,0
1342,0
1348,0
1354,0
1360,0
1366,0
1372,0
1378,0
1384,0
1400,0
1406,0
1412,0
1418,0
1424,0
1430,0
1436,0
1442,0
1448,0
1454,0
1460,0
1466,0
1472,0
1478,0
1484,0
1500,0
1506,0
1512,0
1518,0
1524,0
1530,0
1536,0
1542,0
1548,0
1554,0
1560,0
1566,0
1572,0
1578,0
1584,0
1600,0
1606,0
1612,0
1618,0
1624,0
1630,0
1636,0
1642,0
1648,0
1654,0
1660,0
1666,0
1672,0
1678,0
1684,0
1700,0
1706,0
1712,0
1718,0
1724,0
1730,0
1736,0
1742,0
1748,0
1754,0
1760,0
1766,0
1772,0
1778,0
1784,0
1800,0
1806,0
1812,0
1818,0
1824,0
1830,0
1836,0
1842,0
1848,0
1854,0
1860,0
1866,0
1872,0
1878,0
1884,0
1900,0
1906,0
1912,0
1918,0
